"type","route","country","product","h1","meta_title","meta_title_with_brand_len","meta_description","meta_description_len","primary_keyword","secondary_keywords"
"main-product","/products/corrugated-ridge","UAE","Corrugated Ridge","Corrugated Ridge","Corrugated Ridge Supplier UAE | Roof Ridge Caps","59","Corrugated ridge caps for closing metal roof apexes. Compare ridge profile, angle, thickness, coating, length and matching roofing sheet for RFQs.","146","Corrugated Ridge Supplier in UAE","Corrugated Ridge Supplier in UAE | Corrugated Ridge supplier UAE | roof ridge caps | corrugated ridge flashing | metal ridge cover | roof ridge caps UAE | corrugated ridge flashing UAE | metal ridge cover UAE"
"main-product","/products/gutter-and-flashing","UAE","Gutter and Flashing","Gutter and Flashing","Gutter and Flashing Supplier UAE | Roof Accessories","63","Roof gutters and GI flashing for roof edges, drainage and weatherproofing. Review profile, thickness, coating, dimensions and lengths for RFQs.","143","Gutter and Flashing Supplier in UAE","Gutter and Flashing Supplier in UAE | Gutter and Flashing supplier UAE | roof gutters | metal flashing | GI flashing | roof gutters UAE | metal flashing UAE | GI flashing UAE"
"main-product","/products/gi-decking-sheet","UAE","GI Decking Sheet - 45/150 and 75/305","GI Decking Sheet - 45/150 and 75/305","GI Decking Sheet Supplier UAE | 45/150 & 75/305","59","GI decking sheets in 45/150 and 75/305 profiles for composite slabs. Compare metal deck profile, thickness, length and coating for RFQs.","136","GI Decking Sheet Supplier in UAE","GI Decking Sheet Supplier in UAE | GI Decking Sheet - 45/150 and 75/305 supplier UAE | 45/150 decking sheet | 75/305 decking sheet | metal deck sheet | 45/150 decking sheet UAE | 75/305 decking sheet UAE | metal deck sheet UAE"
"main-product","/products/shear-studs","UAE","Shear Studs","Shear Studs","Shear Studs Supplier UAE | Deck Shear Connectors","60","Shear studs for composite slab and metal decking systems. Review headed stud diameter, length, welding method and quantity for project RFQs.","140","Shear Studs Supplier in UAE","Shear Studs Supplier in UAE | Shear Studs supplier UAE | shear connectors | deck shear studs | headed studs | shear connectors UAE | deck shear studs UAE | headed studs UAE"
"main-product","/products/c-purlins","UAE","C Purlins","C Purlins","C Purlins Supplier UAE | Galvanized C Purlins","57","C purlins for roof and wall support systems. Compare galvanized C purlin section depth, flange, lip, thickness, punching and finish for RFQs.","141","C Purlins Supplier in UAE","C Purlins Supplier in UAE | C Purlins supplier UAE | galvanized C purlins | C channel purlins | roof purlins | galvanized C purlins UAE | C channel purlins UAE | roof purlins UAE"
"main-product","/products/z-purlins","UAE","Z Purlins","Z Purlins","Z Purlins Supplier UAE | Galvanized Z Purlins","57","Z purlins for roof and wall support systems. Compare galvanized Z purlin section size, thickness, overlap, punching, length and finish for RFQs.","144","Z Purlins Supplier in UAE","Z Purlins Supplier in UAE | Z Purlins supplier UAE | galvanized Z purlins | Z section purlins | roof purlins | galvanized Z purlins UAE | Z section purlins UAE | roof purlins UAE"
"main-product","/products/drywall-partition-systems","UAE","Dry Wall Partition Systems","Dry Wall Partition Systems","Drywall Systems Supplier UAE | GI Stud & Track","58","Drywall partition systems with GI studs and tracks for interior framing. Compare profile size, gauge, length and accessories for project RFQs.","142","Drywall Partition Systems Supplier in UAE","Drywall Partition Systems Supplier in UAE | Dry Wall Partition Systems supplier UAE | GI studs and tracks | drywall metal framing | partition profiles | GI studs and tracks UAE | drywall metal framing UAE | partition profiles UAE"
"main-product","/products/strut-track","UAE","Strut & Track","Strut & Track","Strut & Track Supplier UAE | MEP Strut Channels","59","Strut channels and tracks for MEP support systems. Compare channel size, thickness, slot pattern, finish and accessory requirements for RFQs.","141","Strut & Track Supplier in UAE","Strut & Track Supplier in UAE | Strut & Track supplier UAE | strut channels | support channels | MEP strut systems | strut channels UAE | support channels UAE | MEP strut systems UAE"
"main-product","/products/gi-pipe","UAE","GI Pipe","GI Pipe","GI Pipe Supplier UAE | Galvanized Steel Pipe","56","GI pipes for construction, MEP and fabrication work. Compare galvanized steel pipe diameter, thickness, length, coating and quantity for RFQs.","142","GI Pipe Supplier in UAE","GI Pipe Supplier in UAE | GI Pipe supplier UAE | galvanized steel pipe | GI tubes | galvanized pipe | galvanized steel pipe UAE | GI tubes UAE | galvanized pipe UAE"
"main-product","/products/aluminium-coil","UAE","Aluminium Coil","Aluminium Coil","Aluminium Coil Supplier UAE | Aluminium Sheet Coil","62","Aluminium coils for roofing, cladding and fabrication. Compare aluminium coil alloy, temper, thickness, width, finish and quantity for project RFQs.","148","Aluminium Coil Supplier in UAE","Aluminium Coil Supplier in UAE | Aluminium Coil supplier UAE | aluminium coils | aluminium sheet coil | roofing aluminium coil | aluminium coils UAE | aluminium sheet coil UAE | roofing aluminium coil UAE"
"main-product","/products/aluminium-plain-sheet","UAE","Aluminium Plain Sheet","Aluminium Plain Sheet","Aluminium Plain Sheet Supplier UAE | Aluminium Sheet","64","Aluminium plain sheets for panels, cladding and fabrication. Compare aluminium sheet alloy, temper, thickness, size and finish for project RFQs.","144","Aluminium Plain Sheet Supplier in UAE","Aluminium Plain Sheet Supplier in UAE | Aluminium Plain Sheet supplier UAE | aluminium sheet | plain aluminium sheets | aluminium plate sheet | aluminium sheet UAE | plain aluminium sheets UAE | aluminium plate sheet UAE"
"main-product","/products/pre-painted-aluminium-coils","UAE","Pre-painted Aluminium Coils","Pre-painted Aluminium Coils","Pre-Painted Aluminium Coil Supplier UAE | Coated Coil","65","Pre-painted aluminium coils for cladding, panels and roofing accessories. Compare colour-coated coil alloy, thickness, width, paint finish and quantity.","152","Pre-painted Aluminium Coils Supplier in UAE","Pre-painted Aluminium Coils Supplier in UAE | Pre-painted Aluminium Coils supplier UAE | colour coated aluminium coil | prepainted aluminium coil | coated aluminium | colour coated aluminium coil UAE | prepainted aluminium coil UAE | coated aluminium UAE"
"main-product","/products/pfmb-psmr-aluminium-alloy-3003-h14-coils","UAE","PFMB/PSMR Aluminium Alloy 3003-H14 Coils","PFMB/PSMR Aluminium Alloy 3003-H14 Coils","PFMB/PSMR 3003-H14 Aluminium Coils UAE","50","3003-H14 aluminium coils with PFMB/PSMR coating for cladding and fabrication. Review alloy, temper, 75-micron coating, thickness and width for RFQs.","148","PFMB/PSMR Aluminium Alloy 3003-H14 Coils Supplier in UAE","PFMB/PSMR Aluminium Alloy 3003-H14 Coils Supplier in UAE | PFMB/PSMR Aluminium Alloy 3003-H14 Coils supplier UAE | 3003-H14 aluminium coil | PSMR 75 micron coating | coated aluminium coil | 3003-H14 aluminium coil UAE | PSMR 75 micron coating UAE | coated aluminium coil UAE"
"country-product","/countries/uae/products/ms-hollow-sections","UAE","MS Hollow Sections","MS Hollow Sections Supplier in UAE","MS Hollow Sections Supplier UAE | RHS & SHS","55","MS Hollow Sections supplier in UAE. Compare Section size, wall thickness, length, quantity, documents and delivery for project RFQs.","132","MS Hollow Sections supplier UAE","MS Hollow Sections UAE | RHS sections UAE | SHS sections UAE | mild steel hollow sections UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-beams","UAE","MS Beams","MS Beams Supplier in UAE","MS Beams Supplier UAE | I & H Structural Beams","58","MS Beams supplier in UAE. Compare Beam size, length, grade, quantity, documents and delivery for project RFQs.","110","MS Beams supplier UAE","MS Beams UAE | I beams UAE | H beams UAE | structural steel beams UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-channels","UAE","MS Channels","MS Channels Supplier in UAE","MS Channels Supplier UAE | C & U Steel Channels","59","MS Channels supplier in UAE. Compare Channel size, length, thickness/weight, quantity, documents and delivery for project RFQs.","127","MS Channels supplier UAE","MS Channels UAE | C channels UAE | U channels UAE | mild steel channels UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-bars","UAE","MS Bars","MS Bars Supplier in UAE","MS Bars Supplier UAE | Round, Flat & Square Bars","60","MS Bars supplier in UAE. Compare Bar type, size, length, quantity, documents and delivery for project RFQs.","107","MS Bars supplier UAE","MS Bars UAE | round bars UAE | flat bars UAE | square bars UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-angles","UAE","MS Angles","MS Angles Supplier in UAE","MS Angles Supplier UAE | Equal & Unequal Angles","59","MS Angles supplier in UAE. Compare Angle size, thickness, length, quantity, documents and delivery for project RFQs.","116","MS Angles supplier UAE","MS Angles UAE | equal angles UAE | unequal angles UAE | mild steel angles UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/hr-coils-ms","UAE","HR Coils - MS","HR Coils - MS Supplier in UAE","HR Coils Supplier UAE | Hot Rolled Steel Coil","57","HR Coils - MS supplier in UAE. Compare Thickness, width, grade, quantity, documents and delivery for project RFQs.","114","HR Coils - MS supplier UAE","HR Coils - MS UAE | hot rolled steel coil UAE | HR steel coil UAE | mild steel coil UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/cr-coils-ms","UAE","CR Coils - MS","CR Coils - MS Supplier in UAE","CR Coils Supplier UAE | Cold Rolled Steel Coil","58","CR Coils - MS supplier in UAE. Compare Thickness, width, surface requirement, quantity, documents and delivery for project RFQs.","128","CR Coils - MS supplier UAE","CR Coils - MS UAE | cold rolled steel coil UAE | CR steel coil UAE | cold rolled sheet coil UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-sheets","UAE","MS Sheets","MS Sheets Supplier in UAE","MS Sheets Supplier UAE | Mild Steel Sheets","54","MS Sheets supplier in UAE. Compare Thickness, sheet size, grade, quantity, documents and delivery for project RFQs.","115","MS Sheets supplier UAE","MS Sheets UAE | mild steel sheet UAE | steel sheets UAE | fabrication sheet UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-plates","UAE","MS Plates","MS Plates Supplier in UAE","MS Plates Supplier UAE | Mild Steel Plates","54","MS Plates supplier in UAE. Compare Thickness, plate size, grade, quantity, documents and delivery for project RFQs.","115","MS Plates supplier UAE","MS Plates UAE | mild steel plates UAE | steel plate UAE | structural plates UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/mild-steel-gratings","UAE","Mild Steel Gratings","Mild Steel Gratings Supplier in UAE","Mild Steel Gratings Supplier UAE | Steel Grating","60","MS Gratings supplier in UAE. Compare Panel size, load requirement, finish, quantity, documents and delivery for project RFQs.","125","MS Gratings supplier UAE","Mild Steel Gratings UAE | steel grating panels UAE | walkway grating UAE | industrial grating UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/decking-sheets-ms","UAE","Decking Sheets (MS)","Decking Sheets (MS) Supplier in UAE","MS Decking Sheets Supplier UAE | Metal Deck","55","Decking Sheets (MS) supplier in UAE. Compare Profile, thickness, length, quantity, documents and delivery for project RFQs.","123","Decking Sheets (MS) supplier UAE","Decking Sheets (MS) UAE | metal decking sheets UAE | composite deck sheets UAE | MS deck profile UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ms-shear-studs","UAE","MS Shear Studs","MS Shear Studs Supplier in UAE","MS Shear Studs Supplier UAE | Deck Shear Studs","58","MS Shear Studs supplier in UAE. Compare Stud diameter, height, profile and drawing reference, quantity, documents and delivery for project RFQs.","144","MS Shear Studs supplier UAE","MS Shear Studs UAE | shear connectors UAE | deck shear studs UAE | stud welding UAE | Mild Steel Products supplier UAE"
"country-product","/countries/uae/products/ss-coil","UAE","SS Coil","SS Coil Supplier in UAE","SS Coil Supplier UAE | Stainless Steel Coil","55","SS Coil supplier in UAE. Compare Grade, thickness, width, quantity, documents and delivery for project RFQs.","108","SS Coil supplier UAE","SS Coil UAE | stainless steel coil UAE | SS coils UAE | stainless coil UAE | Stainless Steel supplier UAE"
"country-product","/countries/uae/products/ss-wire","UAE","SS Wire","SS Wire Supplier in UAE","SS Wire Supplier UAE | Stainless Steel Wire","55","SS Wire supplier in UAE. Compare Wire diameter, grade, finish, quantity, documents and delivery for project RFQs.","113","SS Wire supplier UAE","SS Wire UAE | stainless steel wire UAE | SS wire coil UAE | stainless wire UAE | Stainless Steel supplier UAE"
"country-product","/countries/uae/products/ss-plain-sheet","UAE","SS Plain Sheet","SS Plain Sheet Supplier in UAE","SS Plain Sheet Supplier UAE | Stainless Sheet","57","SS Plain Sheet supplier in UAE. Compare Grade, thickness, finish, quantity, documents and delivery for project RFQs.","116","SS Plain Sheet supplier UAE","SS Plain Sheet UAE | stainless steel sheet UAE | SS sheet UAE | stainless plain sheet UAE | Stainless Steel supplier UAE"
"country-product","/countries/uae/products/ss-slitted-coil","UAE","SS Slitted Coil","SS Slitted Coil Supplier in UAE","SS Slitted Coil Supplier UAE | Stainless Strips","59","SS Slitted Coil supplier in UAE. Compare Grade, thickness, slit width, quantity, documents and delivery for project RFQs.","121","SS Slitted Coil supplier UAE","SS Slitted Coil UAE | stainless slit coil UAE | SS slit coil UAE | stainless steel strips UAE | Stainless Steel supplier UAE"
"country-product","/countries/uae/products/gi-coil","UAE","GI Coil","GI Coil Supplier in UAE","GI Coil Supplier in UAE | Galvanized Steel Coil","59","GI coil supplier in UAE for galvanized steel coil RFQs. Compare thickness, width, zinc coating Z60–Z275, grade, documents and UAE delivery.","139","GI coil supplier in UAE","galvanized steel coil UAE | hot dip galvanized steel coil UAE | GI coil Z60 Z275 UAE | ASTM A653 galvanized coil UAE | roofing GI coil UAE"
"country-product","/countries/uae/products/ppgi-coil","UAE","PPGI Coil","PPGI Coil Supplier in UAE","PPGI Coil Supplier UAE | Pre-Painted GI Coil","56","PPGI Coil supplier in UAE. Compare Colour/RAL, coating, thickness, quantity, documents and delivery for project RFQs.","117","PPGI Coil supplier UAE","PPGI Coil UAE | pre-painted galvanized coil UAE | colour coated steel coil UAE | PPGI steel coil UAE | Galvanized Steel supplier UAE"
"country-product","/countries/uae/products/aluzinc-coil","UAE","Aluzinc Coil","Aluzinc Coil Supplier in UAE","Aluzinc Coil Supplier UAE | Aluminium-Zinc Coil","59","Aluzinc Coil supplier in UAE. Compare Coating, thickness, width, quantity, documents and delivery for project RFQs.","115","Aluzinc Coil supplier UAE","Aluzinc Coil UAE | aluminium-zinc coil UAE | Aluzinc steel coil UAE | AZ coated coil UAE | Galvanized Steel supplier UAE"
